lang,author,period,year,title,variant,rep,n_ipi,alpha,beta,winner,weibull_delta_aic,geometric_delta_aic,nbinom_delta_aic,lognormal_delta_aic
en,dickens,middle,1850,David_Copperfield,shuffled,32,63079,0.9918248375540468,6.206931342716225,nbinom,0.14644291158765554,4.323129352880642,0.0,10981.834785996936
en,dickens,middle,1850,David_Copperfield,shuffled,33,63079,0.9989871270227745,6.226655846707917,geometric,1.9062907529296353,0.0,1.831181518966332,11316.884828894865
en,dickens,middle,1850,David_Copperfield,shuffled,34,63079,0.9985381689897912,6.225583181119795,geometric,1.8041568868793547,0.0,1.71427116333507,10911.514534336166
en,dickens,middle,1850,David_Copperfield,shuffled,35,63079,0.9972419861323176,6.221980866651207,geometric,1.3015909524983726,0.0,1.2810930657433346,11080.628005520033
en,dickens,middle,1850,David_Copperfield,shuffled,36,63079,0.9997476001821833,6.228795098594196,geometric,1.9941591879469343,0.0,1.999684655922465,10999.111423657043
en,dickens,middle,1850,David_Copperfield,shuffled,37,63079,1.0035936122611648,6.238868481798487,geometric,0.8219081840361468,0.0,0.5901416107662953,11049.399064320489
en,dickens,middle,1850,David_Copperfield,shuffled,38,63079,0.997988537190964,6.223791424673863,geometric,1.6304301290074363,0.0,1.3145469584851526,11274.113320820266
en,dickens,middle,1850,David_Copperfield,shuffled,39,63079,1.002218498979211,6.235199773410644,geometric,1.5506761013530195,0.0,1.5876371104386635,10930.470980178856
en,dickens,middle,1850,David_Copperfield,shuffled,40,63079,0.999397742415223,6.2277128719712325,geometric,1.9668818601057865,0.0,1.8315229762229137,11082.174693377689
en,dickens,middle,1850,David_Copperfield,shuffled,41,63079,0.9955155055514231,6.217300524515961,geometric,0.14498297759564593,0.0,0.486280839482788,10869.445660380297
en,dickens,middle,1850,David_Copperfield,shuffled,42,63079,1.0000097753425015,6.229469442604858,geometric,1.9999913531937636,0.0,1.9814970990992151,11066.543965288729
en,dickens,middle,1850,David_Copperfield,shuffled,43,63079,0.9957990450628684,6.217694772334347,geometric,0.36951782181859016,0.0,0.7940273646381684,10596.870044640847
en,dickens,middle,1850,David_Copperfield,shuffled,44,63079,0.9992713423889603,6.227355010765414,geometric,1.9514008596888743,0.0,1.9295516437268816,11050.94290194643
en,dickens,middle,1850,David_Copperfield,shuffled,45,63079,1.0057949036757545,6.24489766855967,nbinom,0.45298952877055854,1.513391351501923,0.0,10845.497220868012
en,dickens,middle,1850,David_Copperfield,shuffled,46,63079,0.9998812769565002,6.228964332161839,geometric,1.9987085343454964,0.0,1.9997988592949696,10897.521992361813
en,dickens,middle,1850,David_Copperfield,shuffled,47,63079,1.0044011871154823,6.241216057813707,geometric,0.23645877605304122,0.0,0.08049912191927433,11122.484894654364
en,dickens,middle,1850,David_Copperfield,shuffled,48,63079,0.999554656434563,6.228068562041599,geometric,1.9818029199377634,0.0,1.9941226813825779,10776.752950223396
en,dickens,middle,1850,David_Copperfield,shuffled,49,63079,0.9987149312292893,6.225920275143037,geometric,1.8489612493431196,0.0,1.8061183276586235,11208.23012511892
